dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,1100.0,1077.0,22.492
geoId-VNM,2003,,1169.0,1596.0,25.429
geoId-VNM,2004,202.0,1311.0,1746.0,28.392
geoId-VNM,2005,190.0,1285.0,2507.0,26.746
geoId-VNM,2006,218.0,1289.0,2648.0,27.5
geoId-VNM,2007,202.0,1354.0,2734.0,28.4
geoId-VNM,2008,205.0,1431.0,1998.0,29.1
geoId-VNM,2009,197.0,1366.0,2013.0,33.5
geoId-VNM,2010,197.0,1488.0,2619.0,37.3
geoId-VNM,2011,205.0,1798.0,2701.0,46.763
geoId-VNM,2012,206.0,1823.0,3188.0,48.053
geoId-VNM,2013,209.0,2107.0,3817.0,53.486
geoId-VNM,2014,211.0,2144.0,3887.0,54.929
geoId-VNM,2015,210.0,2265.0,4183.0,60.532
geoId-VNM,2016,214.0,2447.0,4694.0,66.154
geoId-VNM,2017,216.0,2570.0,4759.0,68.898
geoId-VNM,2018,217.0,2022.0,4948.0,57.181
geoId-VNM,2020,222.0,2667.0,5002.0,64.018
geoId-VNM,2021,225.0,2639.0,4897.0,63.225
