dia phuong,Năm,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12
geoId-VNM,2002,101.1,103.3,102.5,102.5,102.8,102.2,102.8,102.9,103.1,103.4,103.7,104.0
geoId-VNM,2003,100.9,103.1,102.5,102.5,102.4,100.1,101.8,101.7,101.8,101.6,102.2,103.0
geoId-VNM,2004,101.1,104.1,104.9,105.4,106.3,107.2,107.7,108.3,108.6,108.6,108.8,109.5
geoId-VNM,2005,101.1,103.6,103.7,104.3,104.8,105.2,105.6,106.0,106.8,107.2,107.6,108.4
geoId-VNM,2006,101.2,103.3,102.8,103.0,103.6,104.0,104.4,104.8,105.1,105.4,106.0,106.6
geoId-VNM,2007,101.05,103.24,103.02,103.52,104.32,105.2,106.19,106.78,107.32,108.12,109.45,112.63
geoId-VNM,2008,102.38,106.02,109.19,111.6,115.96,118.44,119.78,121.65,121.87,121.64,120.71,119.89
geoId-VNM,2009,100.32,101.49,101.32,101.68,102.12,102.68,103.22,103.47,104.11,104.49,105.07,106.52
geoId-VNM,2010,101.36,103.35,104.12,104.27,104.55,104.78,104.84,105.08,106.46,107.58,109.58,111.75
geoId-VNM,2011,101.74,103.87,106.12,109.64,112.07,113.29,114.61,115.68,116.63,117.05,117.5,118.13
geoId-VNM,2012,101.0,102.38,102.55,102.6,102.78,102.52,102.22,102.86,105.13,106.02,106.52,106.81
geoId-VNM,2013,101.25,102.59,102.39,102.41,102.35,102.4,102.68,103.53,104.63,105.14,105.5,106.04
geoId-VNM,2014,100.69,101.24,100.8,100.88,101.08,101.38,101.62,101.84,102.25,102.36,102.08,101.84
geoId-VNM,2015,99.8,99.75,99.9,100.04,100.2,100.55,100.68,100.61,100.4,100.51,100.58,100.6
geoId-VNM,2016,100.0,100.42,100.99,101.33,101.88,102.35,102.48,102.58,103.14,104.0,104.5,104.74
geoId-VNM,2017,100.46,100.69,100.9,100.9,100.37,100.2,100.31,101.23,101.83,102.25,102.38,102.6
geoId-VNM,2018,100.51,101.24,100.97,101.05,101.61,102.22,102.13,102.59,103.2,103.54,103.24,102.98
geoId-VNM,2019,100.1,100.9,100.69,101.0,101.5,101.41,101.59,101.87,102.2,102.79,103.78,105.23
geoId-VNM,2020,101.23,101.06,100.34,98.79,98.76,99.41,99.81,99.88,100.01,100.09,100.08,100.19
geoId-VNM,2021,100.06,101.58,101.31,101.27,101.43,101.62,102.25,102.51,101.88,101.67,102.0,101.81
geoId-VNM,2022,100.19,101.2,101.91,102.09,102.48,103.18,103.59,103.6,104.01,104.16,104.56,104.55
