Tỉnh/thành phố,2010,2015,2016,2017,2018,2019,2020,2021
geoId-AGG,1743,2886,3023,3589,3926,3897,3918,4282
geoId-BR-VT,3270,6790,7575,7479,8412,8957,9680,10412
geoId-BDG,7368,13245,15229,17861,20477,24071,27406,31086
geoId-BPC,1351,2229,2764,3410,3702,4413,4564,5134
geoId-BTN,1813,2915,3155,3399,3777,4115,4169,4584
geoId-BDH,2768,4081,4383,4999,5697,5793,5850,6302
geoId-BLU,757,868,1225,1426,1550,1858,1832,2026
geoId-BGG,1316,2043,2576,3444,4418,5058,5685,6376
geoId-BKN,404,416,466,486,498,529,519,547
geoId-BNH,2050,4492,5318,6837,7687,8929,10322,10983
geoId-SCC,37740,56010,63861,73701,78529,85578,89246,97452
geoId-BTE,1509,1925,2094,2364,2680,3192,3068,3327
geoId-CBG,490,681,659,725,787,865,918,977
geoId-CMU,2020,2461,2813,3170,3287,3345,3265,3459
geoId-VNM,279360,442485,505059,560413,610637,668503,684260,718697
geoId-CTO,3463,4649,5832,7017,7045,8087,8225,9356
geoId-GLI,1630,2232,2616,2783,3018,3332,3614,3977
geoId-HGG,495,730,812,797,762,798,927,1003
geoId-HNM,1445,2182,2337,3084,3168,3482,3641,4039
geoId-HNI,58639,103659,110169,121570,129556,141484,144808,147454
geoId-HTH,1695,3108,3382,3785,4060,4156,4024,4328
geoId-HBH,1142,1601,1615,1790,1906,1894,1909,2080
geoId-HYN,1605,3047,3635,4660,5404,5848,6348,7054
geoId-HDG,2767,4612,5501,6904,7418,7922,8107,8522
geoId-HPG,5803,9789,12262,14114,15541,16012,15733,17499
geoId-HGG,733,1345,1551,1579,1629,1727,1820,2054
geoId-KHA,3701,5085,5994,6993,6941,7780,8419,8881
,124,114,162,161,153,145,135,137
geoId-KGG,2969,4091,4791,5488,6390,6769,6608,7252
geoId-KTM,845,1204,1281,1323,1371,1413,1412,1573
geoId-LCU,557,664,713,723,865,796,797,854
geoId-LAN,2947,4623,5110,5991,6646,7278,7974,9067
geoId-LCI,810,1345,1574,1809,1733,1959,2317,2523
geoId-LDG,1865,3472,3810,4340,4627,5232,5389,6107
geoId-LSN,622,851,1099,1276,1389,1353,1647,1827
geoId-NDH,2318,3334,4115,4959,5281,5796,5796,6393
geoId-NAN,4228,6523,7577,8935,10143,10180,10244,11182
geoId-NBH,1512,2232,2562,2759,2908,3079,3521,3970
geoId-NTN,765,1297,1379,1588,1715,1879,2180,2504
geoId-PTO,1916,2712,3191,3931,4317,4754,4530,5110
geoId-PYN,1039,1636,1746,2026,2118,2250,2448,2606
geoId-QBH,2032,2643,2847,3286,3390,3684,3776,4079
geoId-QNM,2092,3714,4536,5222,5842,6936,6806,7416
geoId-QNI,2451,2620,3222,3789,4228,4714,4491,4767
geoId-QNH,2672,4413,5761,6659,6978,7957,7476,8201
geoId-QTI,1342,2074,2085,2255,2305,2325,2391,2676
geoId-STG,1234,1591,1693,1897,2046,2260,2365,2491
geoId-SLA,657,1124,1272,1371,1435,1511,1590,1822
geoId-THA,3903,5784,6955,8667,9403,10850,11541,13352
geoId-TBH,1886,2574,3114,3540,4116,4263,4459,5108
geoId-TNN,1332,2099,2779,3301,3496,3593,3814,4343
geoId-TTH,2819,3016,3315,3630,3753,3812,4022,4382
geoId-TGG,2447,2989,3541,3884,4137,4385,4426,4659
geoId-HCM,95837,148886,171250,180322,198979,218588,216293,213721
geoId-NT,11671,17003,19614,22665,24718,26470,28118,31318
geoId-TVH,788,1228,1417,1534,1591,1843,1931,2104
geoId-TQG,631,819,882,1009,1028,1152,1219,1362
geoId-TNN,7282,10855,12969,14660,15675,16911,17901,19832
geoId-TNH,1894,2348,2614,3188,3319,3575,3744,4109
geoId-VLG,1327,1772,1876,2020,2096,2188,2237,2397
geoId-VPC,1554,2895,3731,4662,5152,5863,6611,7409
geoId-YBI,797,1059,1096,1133,1173,1268,1352,1531
geoId-DBN,502,859,880,870,911,940,894,963
geoId-DNG,7092,11514,13285,15127,15157,17104,18885,20393
geoId-ST,117008,182686,212562,226710,252386,278780,281096,287407
geoId-DLK,2404,2858,4047,4974,5426,5468,5785,6282
geoId-DNG1,538,1089,1215,1240,1233,1466,1701,1893
geoId-MRD,23284,32588,37386,42768,45967,49984,50942,55919
geoId-RRD,82251,143229,158505,179748,193209,210635,216822,226632
geoId-DNI,7288,9188,13130,14450,17497,19176,19409,22945
geoId-DTP,1347,2160,2420,2809,2944,3155,3273,3445
