dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông,Phổ thông cơ sở,Trung học
geoId-VNM,2002,315.0,131.0,101.0,13.0,56.0,14.0
geoId-VNM,2003,325.0,141.0,113.0,14.0,44.0,13.0
geoId-VNM,2004,344.0,169.0,140.0,13.0,8.0,14.0
geoId-VNM,2005,349.0,168.0,153.0,28.0,,
geoId-VNM,2006,343.0,164.0,151.0,28.0,,
geoId-VNM,2007,345.0,160.0,149.0,28.0,8.0,
geoId-VNM,2008,333.0,154.0,142.0,28.0,9.0,
geoId-VNM,2009,329.0,156.0,141.0,28.0,4.0,
geoId-VNM,2010,335.0,153.0,142.0,28.0,12.0,
geoId-VNM,2011,336.0,151.0,143.0,28.0,14.0,
geoId-VNM,2012,336.0,152.0,142.0,28.0,14.0,
geoId-VNM,2013,336.0,150.0,142.0,29.0,15.0,
geoId-VNM,2014,336.0,151.0,141.0,29.0,15.0,
geoId-VNM,2015,333.0,148.0,138.0,29.0,17.0,1.0
geoId-VNM,2016,331.0,144.0,136.0,29.0,21.0,1.0
geoId-VNM,2017,331.0,144.0,136.0,29.0,21.0,1.0
geoId-VNM,2019,325.0,139.0,135.0,29.0,20.0,2.0
geoId-VNM,2020,322.0,136.0,132.0,29.0,23.0,2.0
geoId-VNM,2021,311.0,132.0,119.0,26.0,26.0,8.0
