Tỉnh/Thành phố,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,3.54,2.0,2.72,4.97,3.31
geoId-BR-VT,0.93,0.78,2.44,5.99,1.33
geoId-BDG,0.21,0.36,1.47,4.95,1.42
geoId-BPC,2.02,2.42,3.71,4.56,4.96
geoId-BTN,1.03,0.82,2.55,2.26,2.62
geoId-BDH,1.35,2.04,2.8,2.16,1.79
geoId-BLU,1.27,1.28,1.77,1.3,1.59
geoId-BGG,1.28,1.04,1.22,0.7,1.84
geoId-BKN,3.11,3.22,3.5,3.98,4.05
geoId-BNH,0.89,0.86,1.25,1.31,1.09
geoId-SCC,1.8,1.96,3.05,3.66,3.05
geoId-BTE,3.41,3.59,3.89,4.4,4.17
geoId-CBG,0.38,1.21,2.45,5.52,3.64
geoId-CMU,4.25,4.76,3.3,2.39,2.7
geoId-VNM,1.62,1.5,2.52,3.1,2.21
geoId-CTO,1.99,1.67,2.75,2.16,3.13
geoId-GLI,1.02,1.32,4.83,2.45,2.85
geoId-HGG,0.27,1.3,2.8,1.41,1.07
geoId-HNM,1.01,0.5,0.75,0.49,1.71
geoId-HNI,0.31,0.6,0.9,1.43,0.64
geoId-HTH,2.65,3.17,4.58,3.14,2.63
geoId-HBH,1.07,0.94,1.76,3.12,2.22
geoId-HYN,2.5,1.66,1.92,3.83,3.6
geoId-HDG,1.11,1.04,1.73,1.63,1.08
geoId-HPG,1.53,1.05,1.75,2.25,1.48
geoId-HGG,1.17,2.99,1.84,5.65,3.1
geoId-KHA,1.55,1.35,3.62,7.65,3.56
geoId-KGG,3.22,3.03,3.2,6.31,6.78
geoId-KTM,0.43,0.41,0.47,1.23,1.33
geoId-LCU,0.91,1.82,2.5,1.21,1.02
geoId-LAN,2.17,1.82,3.04,3.19,3.01
geoId-LCI,0.8,2.33,2.33,0.76,0.62
geoId-LDG,2.92,1.51,5.75,2.36,2.31
geoId-LSN,4.27,3.28,5.15,3.62,4.3
geoId-NDH,1.2,1.44,1.7,2.01,0.75
geoId-NAN,2.05,2.92,2.58,3.88,3.67
geoId-NBH,0.88,1.03,2.24,1.11,0.21
geoId-NTN,3.71,1.92,3.28,7.57,4.7
geoId-PTO,3.11,2.36,2.36,1.67,1.76
geoId-PYN,1.72,1.88,4.44,3.78,3.39
geoId-QBH,2.25,3.85,3.91,3.58,2.6
geoId-QNM,1.7,1.36,3.2,3.83,5.19
geoId-QNI,1.86,1.88,3.07,5.21,4.39
geoId-QNH,0.25,0.29,0.79,0.16,0.11
geoId-QTI,1.25,2.59,4.84,4.81,3.3
geoId-STG,3.55,2.82,3.09,3.89,3.55
geoId-SLA,0.07,0.54,1.01,0.38,0.32
geoId-THA,1.89,1.63,2.35,1.83,1.09
geoId-TBH,0.68,0.22,1.53,0.53,0.43
geoId-TNN,1.39,1.06,2.3,3.32,4.07
geoId-TTH,1.66,1.31,2.12,1.82,1.98
geoId-TGG,4.01,2.51,5.49,6.53,3.3
geoId-HCM,0.24,0.26,1.02,3.59,1.04
geoId-NT,1.64,1.77,1.36,1.5,2.18
geoId-TVH,1.69,2.19,4.05,5.75,3.65
geoId-TQG,1.37,3.02,4.31,3.03,2.86
geoId-TNN,2.31,1.56,5.2,3.56,2.82
geoId-TNH,0.85,0.58,1.56,2.03,1.06
geoId-VLG,6.31,4.9,4.71,5.26,4.86
geoId-VPC,1.14,0.82,2.37,1.54,0.67
geoId-YBI,0.55,1.84,1.32,2.37,1.61
geoId-DBN,6.53,3.93,3.06,0.63,3.77
geoId-DNG,0.8,0.8,3.32,5.89,5.19
geoId-ST,0.53,0.47,1.62,3.76,1.39
geoId-DLK,3.66,2.28,7.76,6.87,4.23
geoId-DNG1,1.76,1.18,1.57,1.08,1.06
geoId-MRD,3.17,2.78,3.47,4.33,3.61
geoId-RRD,0.84,0.79,2.34,1.92,0.93
geoId-DNI,0.86,0.38,2.42,2.7,1.22
geoId-DTP,3.31,3.01,3.71,3.05,2.68
