dia phuong,Năm,Lúa,Ngô,Mía,Sắn,Lạc,Khoai lang
geoId-VNM,2000,32529.5,2005.9,15044.3,,355.3,
geoId-VNM,2001,32108.4,2161.7,14656.9,,363.1,
geoId-VNM,2002,34447.2,2511.2,17120.0,,400.4,
geoId-VNM,2003,34568.8,3136.3,16854.7,,406.2,
geoId-VNM,2004,36148.9,3430.9,15649.3,,469.0,
geoId-VNM,2005,35832.9,3787.1,14948.7,,489.3,
geoId-VNM,2006,35849.5,3854.6,16719.5,,462.5,
geoId-VNM,2007,35942.7,4303.2,17396.7,,510.0,
geoId-VNM,2008,38729.8,4573.1,16145.5,,530.2,
geoId-VNM,2009,38950.2,4371.7,15608.3,,510.9,
geoId-VNM,2010,40005.6,4625.7,16161.7,8595.6,487.2,1318.5
geoId-VNM,2011,42398.5,4835.6,17539.6,9897.9,468.7,1362.1
geoId-VNM,2012,43737.8,4973.6,19015.4,9735.4,468.5,1427.3
geoId-VNM,2013,44039.1,5191.2,20128.5,9757.3,491.9,1358.1
geoId-VNM,2014,44974.6,5202.3,19821.6,10209.9,453.3,1401.3
geoId-VNM,2015,45091.0,5287.2,18337.3,10740.2,454.1,1335.9
geoId-VNM,2016,43109.0,5246.5,17211.2,10909.9,427.2,1269.3
geoId-VNM,2017,42738.9,5109.6,18356.4,10267.7,459.6,1352.8
geoId-VNM,2018,44046.0,4874.1,17945.2,9847.1,456.8,1374.7
geoId-VNM,2019,43495.4,4731.9,15685.6,10174.9,442.6,1432.0
geoId-VNM,2020,42764.8,4558.2,11534.6,10504.2,425.5,1378.0
geoId-VNM,2021,43852.6,4446.4,10740.9,10565.6,430.4,1231.5
geoId-VNM,Sơ bộ 2022,42660.7,4423.2,11083.0,10626.9,408.1,976.1
