"Tỉnh, thành phố",2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,15364.5,10421.4,8385.7,12817.2,17089.4
geoId-BR-VT,69008.2,64481.3,63531.2,65142.3,67516.1
geoId-BDG,132072.1,135509.0,141649.5,148040.0,154707.0
geoId-BPC,56388.3,73804.0,118627.0,158488.0,211644.0
geoId-BTN,41010.0,40104.5,46856.0,49804.3,56147.6
geoId-BDH,118363.8,117459.0,119959.8,127710.0,131977.4
geoId-BLU,42708.7,31602.0,28794.0,22706.0,38400.0
geoId-BGG,160732.7,147910.5,168403.0,175382.5,172210.7
geoId-BKN,14783.0,13197.0,12701.0,13585.0,16375.2
geoId-BNH,73167.0,50427.0,43655.0,58131.6,51310.8
geoId-SCC,754424.8,699121.6,708318.8,741638.8,803318.6
geoId-BTE,132614.0,100774.0,72114.0,73520.0,69905.0
geoId-CBG,28008.5,25529.2,24343.4,25378.9,26549.4
geoId-CMU,19453.6,16412.4,15841.9,16358.8,19100.2
geoId-VNM,4697240.2,4098125.3,4013465.0,4263440.8,4539160.5
geoId-CTO,20597.5,20367.9,17991.3,18833.0,20330.1
geoId-GLI,46914.0,48550.0,54262.4,62032.8,67980.6
geoId-HBH,63545.7,59676.0,61350.0,63994.0,68143.8
geoId-HGG,28947.7,30667.4,31867.9,34495.6,36722.2
geoId-HNM,71502.0,63870.6,68761.0,70636.0,71800.0
geoId-HNI,327369.3,259066.0,210846.0,227557.0,237005.0
geoId-HTH,75061.0,71502.0,72451.7,67975.0,68308.0
geoId-HYN,112984.4,94705.0,86767.0,91179.0,98555.8
geoId-HDG,95035.1,52412.8,46873.2,56165.9,63261.6
geoId-HPG,71904.2,33521.2,23422.9,24907.6,30254.4
geoId-HGG,27126.8,22998.6,18603.7,20094.6,20961.5
geoId-KHA,21201.0,21936.9,21997.6,23663.0,29873.9
geoId-KGG,47011.0,39408.9,41350.5,40691.4,41042.6
geoId-KTM,18582.0,18254.0,19529.2,20818.4,21884.1
geoId-LCU,9378.8,8096.0,10015.8,9865.6,10359.4
geoId-LAN,33072.6,27842.5,16440.8,18161.0,23019.7
geoId-LCI,50450.0,42278.0,37134.0,42110.8,47323.0
geoId-LDG,83647.2,77762.9,64432.5,72117.2,73234.1
geoId-LSN,47377.0,23226.8,20755.9,23722.6,25217.6
geoId-NDH,158522.9,150752.0,155184.0,155447.0,148416.4
geoId-NAN,134269.0,129902.0,136764.0,142452.0,147523.0
geoId-NBH,44366.5,38688.0,38327.9,39683.2,43207.7
geoId-NTN,16413.2,17410.7,18231.6,17313.0,23367.0
geoId-PTO,125522.5,126670.9,127291.8,130658.0,134847.6
geoId-PYN,17379.0,16833.0,17125.2,19285.7,20167.4
geoId-QBH,55817.0,41829.9,37758.8,38336.0,44252.7
geoId-QNM,35168.0,27700.0,23671.0,25211.0,27028.1
geoId-QNI,44443.5,40445.8,41565.1,43624.9,45478.9
geoId-QNH,81776.2,74351.5,64987.0,67112.1,68170.6
geoId-QTI,29774.0,28691.0,21891.2,28440.3,37324.7
geoId-STG,48509.2,36531.0,25602.5,28740.0,33333.5
geoId-SLA,47009.0,46565.0,48653.0,50212.0,54074.0
geoId-THA,138452.0,123796.0,130933.0,138247.0,152948.0
geoId-TBH,207005.0,169215.0,160592.0,160592.0,167686.0
geoId-TNN,99850.0,83666.0,84325.0,95054.0,104289.5
geoId-TTH,20951.9,15485.8,13361.8,13916.0,14576.0
geoId-TGG,166828.0,94695.9,85425.6,85425.6,84272.7
geoId-HCM,97157.1,80336.6,81126.1,55282.7,56493.1
geoId-NT,777167.7,709458.8,733151.0,778477.6,818139.5
geoId-TVH,54567.0,42625.0,25791.5,47352.8,50103.5
geoId-TQG,50651.8,52832.1,53852.3,57380.8,61016.3
geoId-TNN,312039.2,317957.0,318501.1,349531.1,369750.5
geoId-TNH,39114.7,42975.4,41066.5,41068.8,43992.5
geoId-VLG,56309.0,46258.1,51412.5,51342.0,49828.0
geoId-VPC,91591.5,76820.9,68062.3,75575.9,79794.8
geoId-YBI,38677.8,36743.0,40170.1,44218.4,48137.0
geoId-DBN,12233.0,12401.0,12287.8,12419.5,12873.7
geoId-DNG,6121.5,6025.0,5752.0,5660.6,4345.9
geoId-ST,815103.6,785531.2,864202.6,889324.6,988707.6
geoId-DLK,135500.0,143332.0,150151.0,158337.7,170939.1
geoId-DNG1,27396.0,30058.1,30126.0,36225.0,35712.6
geoId-MRD,703280.9,522226.6,441813.1,477481.5,499781.3
geoId-RRD,1335224.1,1063830.0,967478.4,1026987.3,1059463.0
geoId-DNI,421363.1,388424.9,398202.4,421302.8,454354.9
geoId-DTP,39119.0,32289.0,34059.0,34269.0,32395.0
