dia phuong,Năm,Tổng số,"Nông, lâm nghiệp và thuỷ sản",Công nghiệp và xây dựng,Dịch vụ,Thuế sản phẩm trừ trợ cấp sản phẩm
geoId-VNM,2005,107.55,104.19,108.42,108.59,
geoId-VNM,2006,106.98,103.8,107.29,108.39,
geoId-VNM,2007,107.13,103.96,107.36,108.54,
geoId-VNM,2008,105.66,104.69,104.13,107.55,
geoId-VNM,2009,105.4,101.91,105.98,106.55,
geoId-VNM,2010,106.42,103.29,107.17,107.19,
geoId-VNM,2011,106.41,104.24,107.35,107.65,102.07
geoId-VNM,2012,105.5,102.87,107.17,107.03,98.06
geoId-VNM,2013,105.55,102.53,105.12,106.82,106.2
geoId-VNM,2014,106.42,103.2,106.24,107.31,107.9
geoId-VNM,2015,106.99,102.51,109.19,107.05,105.51
geoId-VNM,2016,106.69,101.65,107.83,107.46,106.16
geoId-VNM,2017,106.94,103.17,108.28,107.12,106.25
geoId-VNM,2018,107.47,104.12,108.99,107.46,106.19
geoId-VNM,2019,107.36,102.67,108.21,108.08,106.74
geoId-VNM,2020,102.87,103.04,104.38,102.01,100.86
geoId-VNM,2021,102.55,103.71,103.21,101.75,102.3
geoId-VNM,Sơ bộ 2022,108.12,103.48,107.87,110.11,105.77
